county_id,county_name,cars_per_1000_citizens
0114, Upplands Väsby,349
0115, Vallentuna,399
0117, Österåker,385
0120, Värmdö,357
0123, Järfälla,328
0125, Ekerö,384
0126, Huddinge,292
0127, Botkyrka,284
0128, Salem,344
0136, Haninge,318
0138, Tyresö,326
0139, Upplands-Bro,367
0140, Nykvarn,440
0160, Täby,356
0162, Danderyd,342
0163, Sollentuna,315
0180, Stockholm,198
0181, Södertälje,324
0182, Nacka,285
0183, Sundbyberg,229
0184, Solna,228
0186, Lidingö,306
0187, Vaxholm,356
0188, Norrtälje,432
0191, Sigtuna,341
0192, Nynäshamn,376
0305, Höbo,446
0319, Älvkarleby,469
0330, Knivsta,403
0331, Heby,459
0360, Tierp,433
0380, Uppsala,317
0381, Enköping,440
0382, Östhammar,459
0428, Vingåker,478
0461, Gnesta,424
0480, Nyköping,441
0481, Oxelösund,449
0482, Flen,433
0483, Katrineholm,426
0484, Eskilstuna,404
0486, Strängnäs,451
0488, Trosa,450
0509, Ödeshög,449
0512, Ydre,410
0513, Kinda,441
0560, Boxholm,490
0561, Åtvidaberg,473
0562, Finspång,474
0563, Valdemarsvik,455
0580, Linköping,358
0581, Norrköping,384
0582, Söderköping,467
0583, Motala,459
0584, Vadstena,444
0586, Mjölby,469
0604, Aneby,442
0617, Gnosjö,440
0642, Mullsjö,459
0643, Habo,453
0662, Gislaved,428
0665, Vaggeryd,446
0680, Jönköping,405
0682, Nässjö,425
0683, Värnamo,433
0684, Sävsjö,409
0685, Vetlanda,450
0686, Eksjö,470
0687, Tranås,412
0760, Uppvidinge,443
0761, Lessebo,398
0763, Tingsryd,426
0764, Alvesta,427
0765, Älmhult,400
0767, Markaryd,439
0780, Växjö,387
0781, Ljungby,432
0821, Högsby,450
0834, Torsås,462
0840, Mörbylånga,497
0860, Hultsfred,454
0861, Mönsterås,490
0862, Emmaboda,431
0880, Kalmar,424
0881, Nybro,454
0882, Oskarshamn,472
0883, Västervik,443
0884, Vimmerby,463
0885, Borgholm,463
0980, Gotland,488
1060, Olofström,464
1080, Karlskrona,427
1081, Ronneby,479
1082, Karlshamn,459
1083, Sölvesborg,479
1214, Svalöv,469
1230, Staffanstorp,438
1231, Burlöv,388
1233, Vellinge,472
1256, Östra Göinge,447
1257, Örkelljunga,464
1260, Bjuv,481
1261, Kävlinge,469
1262, Lomma,442
1263, Svedala,459
1264, Skurup,462
1265, Sjöbo,476
1266, Hörby,440
1267, Höör,440
1270, Tomelilla,460
1272, Bromölla,481
1273, Osby,439
1275, Perstorp,420
1276, Klippan,484
1277, Åstorp,459
1278, Båstad,477
1280, Malmö,287
1281, Lund,302
1282, Landskrona,367
1283, Helsingborg,362
1284, Höganös,447
1285, Eslöv,426
1286, Ystad,430
1287, Trelleborg,449
1290, Kristianstad,423
1291, Simrishamn,455
1292, Ängelholm,453
1293, Hässleholm,437
1315, Hylte,409
1380, Halmstad,422
1381, Laholm,487
1382, Falkenberg,449
1383, Varberg,446
1384, Kungsbacka,441
1401, Härryda,410
1402, Partille,364
1407, Öckerö,405
1415, Stenungsund,460
1419, Tjörn,509
1421, Orust,512
1427, Sotenäs,484
1430, Munkedal,494
1435, Tanum,475
1438, Dals-Ed,432
1439, Färgelanda,453
1440, Ale,444
1441, Lerum,425
1442, Vårgårda,432
1443, Bollebygd,451
1444, Grästorp,476
1445, Essunga,448
1446, Karlsborg,500
1447, Gullspång,467
1452, Tranemo,439
1460, Bengtsfors,442
1461, Mellerud,425
1462, Lilla Edet,490
1463, Mark,454
1465, Svenljunga,453
1466, Herrljunga,415
1470, Vara,446
1471, Götene,503
1472, Tibro,468
1473, Töreboda,454
1480, Göteborg,264
1481, Mölndal,368
1482, Kungälv,455
1484, Lysekil,456
1485, Uddevalla,434
1486, Strömstad,459
1487, Vänersborg,447
1488, Trollhättan,421
1489, Alingsås,404
1490, Borås,400
1491, Ulricehamn,458
1492, Åmål,425
1493, Mariestad,486
1494, Lidköping,459
1495, Skara,448
1496, Skövde,444
1497, Hjo,480
1498, Tidaholm,480
1499, Falköping,440
1715, Kil,473
1730, Eda,465
1737, Torsby,457
1760, Storfors,548
1761, Hammarö,465
1762, Munkfors,527
1763, Forshaga,492
1764, Grums,492
1765, Årjäng,401
1766, Sunne,428
1780, Karlstad,401
1781, Kristinehamn,458
1782, Filipstad,476
1783, Hagfors,512
1784, Arvika,446
1785, Säffle,450
1814, Lekeberg,472
1860, Laxå,503
1861, Hallsberg,479
1862, Degerfors,522
1863, Hällefors,464
1864, Ljusnarsberg,486
1880, Örebro,364
1881, Kumla,473
1882, Askersund,509
1883, Karlskoga,470
1884, Nora,454
1885, Lindesberg,465
1904, Skinnskatteberg,495
1907, Surahammar,525
1960, Kungsör,495
1961, Hallstahammar,490
1962, Norberg,490
1980, Västerås,401
1981, Sala,447
1982, Fagersta,459
1983, Köping,460
1984, Arboga,461
2021, Vansbro,465
2023, Malung-Sälen,444
2026, Gagnef,498
2029, Leksand,451
2031, Rättvik,474
2034, Orsa,460
2039, Älvdalen,477
2061, Smedjebacken,534
2062, Mora,464
2080, Falun,431
2081, Borlänge,448
2082, Säter,509
2083, Hedemora,492
2084, Avesta,486
2085, Ludvika,472
2101, Ockelbo,458
2104, Hofors,499
2121, Ovanåker,459
2132, Nordanstig,461
2161, Ljusdal,427
2180, Gävle,401
2181, Sandviken,476
2182, Söderhamn,479
2183, Bollnäs,448
2184, Hudiksvall,452
2260, Ånge,447
2262, Timrå,494
2280, Härnösand,412
2281, Sundsvall,429
2282, Kramfors,452
2283, Sollefteå,448
2284, Örnsköldsvik,443
2303, Ragunda,430
2305, Bräcke,428
2309, Krokom,420
2313, Strömsund,433
2321, Åre,406
2326, Berg,398
2361, Härjedalen,451
2380, Östersund,398
2401, Nordmaling,419
2403, Bjurholm,371
2404, Vindeln,380
2409, Robertsfors,405
2417, Norsjö,389
2418, Malå,397
2421, Storuman,422
2422, Sorsele,399
2425, Dorotea,431
2460, Vännäs,422
2462, Vilhelmina,428
2463, Åsele,413
2480, Umeå,353
2481, Lycksele,426
2482, Skellefteå,414
2505, Arvidsjaur,426
2506, Arjeplog,430
2510, Jokkmokk,422
2513, Överkalix,440
2514, Kalix,467
2518, Övertorneå,412
2521, Pajala,387
2523, Gällivare,514
2560, Älvsbyn,472
2580, Luleå,413
2581, Piteå,480
2582, Boden,461
2583, Haparanda,465
2584, Kiruna,472
